タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner,partner_link,partner_priority
YOKOTA BASE STUDIO,〒194-0013 東京都町田市原町田１丁目６-２４ 田島第二ビル,,https://yokotabasestudio.com/,042-723-4888,"2024-02-29 木曜日 11時00分～23時00分
2024-03-01 金曜日 11時00分～23時00分
2024-03-02 土曜日 11時00分～23時00分
2024-03-03 日曜日 11時00分～23時00分
2024-03-04 月曜日 11時00分～23時00分
2024-03-05 火曜日 11時00分～23時00分
2024-03-06 水曜日 11時00分～23時00分
",1.0,139.446996,35.53974,東京,町田駅,257.0,町田駅,1.0,町田市,町田,町田,area:町田|station:町田駅|feature:24h|feature:midnight,0,,0
YR CLUB HOUSE 国領店,〒182-0022 東京都調布市国領町３丁目１０-４,,http://yrch.jp/,042-426-7711,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 9時30分～13時30分
2024-03-02 土曜日 9時30分～13時30分
2024-03-03 日曜日 9時30分～13時30分
2024-03-04 月曜日 9時30分～13時30分
2024-03-05 火曜日 9時30分～13時30分
2024-03-06 水曜日 9時30分～13時30分
",1.0,139.5593979,35.6499262,東京,国領駅,89.0,国領駅|布田駅|柴崎駅|調布駅|つつじヶ丘駅,0.0,調布市,調布,調布,area:調布|feature:24h|feature:midnight,0,,0
Z-RAHZ DANCE STUDIO,〒106-0046 東京都港区元麻布１丁目２-２,,http://studio.z-rahz.com/,03-6434-9118,"2024-02-29 木曜日 11時00分～20時00分
2024-03-01 金曜日 11時00分～20時00分
2024-03-02 土曜日 11時00分～20時00分
2024-03-03 日曜日 11時00分～16時00分
2024-03-04 月曜日 11時00分～20時00分
2024-03-05 火曜日 11時00分～20時00分
2024-03-06 水曜日 11時00分～20時00分
",1.0,139.7324618,35.654979,東京,麻布十番駅,192.0,麻布十番駅|六本木駅,2.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:麻布十番駅|station:六本木駅|feature:24h|feature:midnight,0,,0
ZITA アルゼンチンタンゴ,"Tokyo, 塚原ビル 4F, ２丁目-２７-２ 上大崎 品川区 東京都 141-0021",,https://www.laestacion.jp/,080-6660-6864,"2024-02-29 木曜日 12時00分～23時30分
2024-03-01 金曜日 12時00分～23時30分
2024-03-02 土曜日 12時00分～23時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時00分～23時30分
2024-03-05 火曜日 12時00分～23時30分
2024-03-06 水曜日 12時00分～23時30分
",1.0,139.7150127,35.6343452,東京,目黒駅,83.0,目黒駅|五反田駅,2.0,品川区,品川,品川|五反田|大井町|目黒,area:品川|station:目黒駅|station:五反田駅|feature:24h|feature:midnight,0,,0
Zsa Zsa Zsu Dance Studio ザザズ,〒112-0014 東京都文京区関口１丁目４８-５ 第２榎本ビル 2階,,https://zsazsazsu-studio.com/,03-5579-2424,"2024-02-29 木曜日 16時00分～21時00分
2024-03-01 金曜日 16時00分～21時00分
2024-03-02 土曜日 10時30分～20時30分
2024-03-03 日曜日 10時00分～15時30分
2024-03-04 月曜日 16時00分～22時00分
2024-03-05 火曜日 16時00分～21時30分
2024-03-06 水曜日 16時00分～21時00分
",1.0,139.7302564,35.7093863,東京,江戸川橋駅,249.0,江戸川橋駅|神楽坂駅|早稲田駅|茗荷谷駅|牛込神楽坂駅|護国寺駅|牛込柳町駅|面影橋駅|飯田橋駅|若松河田駅,0.0,文京区,後楽園,後楽園,area:後楽園|feature:24h|feature:midnight,0,,0
Zsa Zsa Zsu Studio,〒112-0014 東京都文京区関口１丁目６-９ 川田ビル 1階,,https://zsazsazsu-studio.com/,03-5579-2424,"2024-02-29 木曜日 13時00分～21時30分
2024-03-01 金曜日 13時00分～21時30分
2024-03-02 土曜日 13時00分～21時00分
2024-03-03 日曜日 13時00分～21時30分
2024-03-04 月曜日 13時00分～21時30分
2024-03-05 火曜日 13時00分～21時30分
2024-03-06 水曜日 13時00分～21時30分
",1.0,139.732117,35.708224,東京,江戸川橋駅,184.0,江戸川橋駅|神楽坂駅|牛込神楽坂駅|早稲田駅|茗荷谷駅|牛込柳町駅|護国寺駅|飯田橋駅|若松河田駅|面影橋駅,0.0,文京区,後楽園,後楽園,area:後楽園|feature:24h|feature:midnight,0,,0
アートクリエイションスタジオ,〒214-0036 神奈川県川崎市多摩区南生田３丁目３-５ １Ｆ,,https://sites.google.com/view/acs-ikuta,090-7179-8172,,1.0,139.5329913,35.605983,東京,読売ランド前駅,1078.0,読売ランド前駅|生田駅|百合ヶ丘駅,0.0,その他,その他,その他,,0,,0
アートスタジオバレエ,〒206-0812 東京都稲城市矢野口１６６５,,http://art-studio-ballet.jp/,042-378-3409,,1.0,139.5172138,35.6358457,東京,京王よみうりランド駅,329.0,京王よみうりランド駅|矢野口駅|京王稲田堤駅|稲城駅|稲城長沼駅|稲田堤駅,0.0,稲城市,稲城,稲城,area:稲城,0,,0
あいしまバレエスクール,〒185-0012 東京都国分寺市本町４丁目２０-１０ スタジオ司内 B1F Aホール,,http://aishima-ballet.com/,042-545-2020,,1.0,139.477449,35.702552,東京,国分寺駅,378.0,国分寺駅,1.0,国分寺市,国分寺,国分寺,area:国分寺|station:国分寺駅,0,,0
アイスタジオ,〒201-0014 東京都狛江市東和泉３丁目６-４ １F＆BF 泉プラザ,,http://www.iistudio.jp/,03-3489-2433,,1.0,139.5751522,35.6261495,東京,和泉多摩川駅,181.0,和泉多摩川駅|狛江駅|登戸駅|宿河原駅|向ヶ丘遊園駅|喜多見駅,0.0,狛江市,狛江,狛江,area:狛江,0,,0
あおちゃんダンスコミュニケーション サルサダンス ブラジルダンス 認知症予防ダンス,〒110-0003 東京都台東区根岸２丁目１２-１１,,https://danceclub.jp/,080-1253-1003,"2024-02-29 木曜日 10時00分～22時00分
2024-03-01 金曜日 10時00分～22時00分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～22時00分
2024-03-05 火曜日 10時00分～22時00分
2024-03-06 水曜日 10時00分～22時00分
",1.0,139.7780016,35.7245827,東京,日暮里駅,726.0,日暮里駅,1.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:日暮里駅|feature:24h|feature:midnight,0,,0
アカペラスタジオ ベースオントップ吉祥寺店,〒180-0004 東京都武蔵野市吉祥寺本町１丁目２０-３ B1F,,https://bassontop.tokyo.jp/a-cappella_kichijoji/,0422-27-1334,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.5817998,35.7054717,東京,吉祥寺駅,312.0,吉祥寺駅,1.0,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h|feature:midnight,0,,0
アカペラスタジオベースオントップ池袋東口店,〒171-0022 東京都豊島区南池袋２丁目２４-５ 加藤ビル B1,,https://bassontop.tokyo.jp/a-cappella_ikebukurohigashi/,03-6384-4070,"2024-02-29 木曜日 10時00分～23時30分
2024-03-01 金曜日 10時00分～23時30分
2024-03-02 土曜日 8時00分～23時30分
2024-03-03 日曜日 8時00分～23時30分
2024-03-04 月曜日 10時00分～23時30分
2024-03-05 火曜日 10時00分～23時30分
2024-03-06 水曜日 10時00分～23時30分
",1.0,139.7133928,35.727352,東京,池袋駅,323.0,池袋駅,1.0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|station:池袋駅|feature:24h|feature:midnight,0,,0
アクセ・スタジオ,〒169-0075 東京都新宿区高田馬場４丁目１-７,,http://accestudio.com/,03-3371-5222,"2024-02-29 木曜日 9時00分～0時00分
2024-03-01 金曜日 9時00分～0時00分
2024-03-02 土曜日 9時00分～0時00分
2024-03-03 日曜日 9時00分～0時00分
2024-03-04 月曜日 9時00分～0時00分
2024-03-05 火曜日 9時00分～0時00分
2024-03-06 水曜日 9時00分～0時00分",1.0,139.7025253,35.7101822,東京,高田馬場駅,260.0,高田馬場駅|新大久保駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:高田馬場駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
アックミーエアリアルスタジオ ACME AERIAL STUDIO 36,〒168-0064 東京都杉並区永福４丁目８-１４,,https://www.acmejapan54.com/,03-6754-8505,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 11時00分～21時00分
2024-03-01 金曜日 定休日
2024-03-02 土曜日 11時00分～17時00分
2024-03-03 日曜日 11時00分～18時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 11時00分～21時00分
2024-03-06 水曜日 11時00分～21時00分
",1.0,139.6425873,35.6784399,東京,永福町駅,241.0,永福町駅|西永福駅|明大前駅|下高井戸駅|浜田山駅|方南町駅|桜上水駅|代田橋駅,0.0,杉並区,高円寺,高円寺,area:高円寺|feature:24h|feature:midnight,0,,0
アトリエ ベラーノ,〒157-0062 東京都世田谷区南烏山４丁目１３-３ スター ホームズ 千歳烏山 地階118号 スターホームズ千歳烏山,,http://verano.tokyo/,070-4095-8959,,1.0,139.601408,35.669976,東京,千歳烏山駅,195.0,千歳烏山駅|芦花公園駅|八幡山駅|仙川駅|富士見ヶ丘駅|高井戸駅|上北沢駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢,0,,0
アミューゼダンススポーツクラブ,〒470-0348 愛知県豊田市貝津町柚木１３９-１,,https://amuserdance.com/,0565-46-4447,"2024-02-29 木曜日 11時00分～21時00分
2024-03-01 金曜日 11時00分～21時00分
2024-03-02 土曜日 13時00分～18時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 11時00分～21時00分
2024-03-05 火曜日 11時00分～21時00分
2024-03-06 水曜日 11時00分～21時00分
",1.0,137.146732,35.1332915,東京,貝津駅,142.0,貝津駅|保見駅|浄水駅|四郷駅|上豊田駅,0.0,その他,その他,その他,feature:24h|feature:midnight,0,,0
アメリカンスタイル専門の社交ダンスサークル 【Sunday Dance Cafe】,〒144-0051 東京都大田区西蒲田６丁目３２-１３ 月村マンション １F,,https://sundaydancecafe.hp.peraichi.com/,03-6424-9580,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 定休日
2024-03-03 日曜日 10時00分～12時00分
2024-03-04 月曜日 定休日
2024-03-05 火曜日 定休日
2024-03-06 水曜日 定休日
",1.0,139.7095871,35.5646925,東京,蒲田駅,633.0,蒲田駅,1.0,大田区,蒲田,蒲田,area:蒲田|station:蒲田駅|feature:24h|feature:midnight,0,,0
あやこバレエスタジオ,〒156-0051 東京都世田谷区４６ 宮坂3-46-3-1F,,http://ayako-ballet-studio.tokyo/,090-8773-6789,,1.0,139.632418,35.654882,東京,経堂駅,569.0,経堂駅|松原駅|千歳船橋駅|山下駅|豪徳寺駅|宮の坂駅|桜上水駅|下高井戸駅|上北沢駅|上町駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢,0,,0
アリスト バレエスタジオ,〒155-0031 東京都世田谷区北沢２丁目９-２１ ミナミ10号館ビル 4階,,https://aristoballetstudio.com/,03-3485-1522,,1.0,139.6690061,35.6621738,東京,下北沢駅,51.0,下北沢駅,1.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|station:下北沢駅,0,,0
レンタルスタジオ三ノ輪,〒110-0011 東京都台東区三ノ輪１丁目１０-９ GATTINO 1F,,http://rental.studio-minowa.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7918484,35.7277,東京,三ノ輪駅,219.0,三ノ輪駅|荒川一中前駅|荒川区役所前駅|南千住駅|入谷駅|荒川二丁目駅|鶯谷駅|三河島駅|浅草駅|千住大橋駅,0.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|feature:24h|feature:midnight,0,,0
レンタルスタジオODORU,〒110-0015 東京都台東区東上野３丁目１８-１ B1,,https://odorudance.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7774888,35.7109093,東京,上野駅,319.0,上野駅,1.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:上野駅|feature:24h|feature:midnight,0,,0
アルゼンチンタンゴ・ダンス チケ,〒160-0011 東京都新宿区若葉１丁目１-１ 2F,,https://tangochique.com/,03-6384-2988,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1.0,139.7230165,35.6873605,東京,四谷三丁目駅,225.0,四谷三丁目駅|曙橋駅|四ツ谷駅|信濃町駅|新宿御苑前駅|国立競技場駅|市ケ谷駅|千駄ケ谷駅|麹町駅|牛込柳町駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
アルゼンチンタンゴ協会,〒104-0061 東京都中央区銀座７丁目１４-７ 共栄銀座７丁目ビル,,http://tangokyoukai.com/,03-3544-5600,"2024-02-29 木曜日 12時00分～21時00分
2024-03-01 金曜日 12時00分～23時00分
2024-03-02 土曜日 12時00分～21時00分
2024-03-03 日曜日 12時00分～21時00分
2024-03-04 月曜日 12時00分～21時00分
2024-03-05 火曜日 12時00分～21時00分
2024-03-06 水曜日 12時00分～21時00分
",1.0,139.7648953,35.6672646,東京,新橋駅,579.0,新橋駅|有楽町駅,2.0,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:新橋駅|station:有楽町駅|feature:24h|feature:midnight,0,,0
NOAダンスアカデミー 秋葉原校,〒101-0021 東京都千代田区外神田６丁目１４-８ 秋葉原ノアビル9F,,https://www.noadance.jp/,,"2024-02-29 木曜日 9時30分～23時30分
2024-03-01 金曜日 9時30分～23時30分
2024-03-02 土曜日 10時00分～22時00分
2024-03-03 日曜日 10時00分～22時00分
2024-03-04 月曜日 9時30分～23時30分
2024-03-05 火曜日 9時30分～23時30分
2024-03-06 水曜日 9時30分～23時30分
",1.0,139.771522,35.7035015,東京,秋葉原駅,589.0,秋葉原駅,1.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h|feature:midnight,0,,0
ムーンプレイス レンタルスタジオ蔵前,〒111-0043 東京都台東区駒形２丁目１-５ ３階,,https://kashispace.com/room/detail?id=5058,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7946164,35.705282,東京,蔵前駅,224.0,蔵前駅|浅草駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:蔵前駅|station:浅草駅|feature:24h|feature:midnight,0,,0
アルファビデオレンタルスタジオ,〒107-0051 東京都港区元赤坂１丁目５-７ ラベリテ赤坂 1階,,https://www.alphavideo.co.jp/service/studio/,03-5412-0707,"2024-02-29 木曜日 10時00分～17時00分
2024-03-01 金曜日 10時00分～17時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～17時00分
2024-03-05 火曜日 10時00分～17時00分
2024-03-06 水曜日 10時00分～17時00分
",1.0,139.7338085,35.6776833,東京,赤坂駅,534.0,赤坂駅|青山一丁目駅,2.0,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:赤坂駅|station:青山一丁目駅|feature:24h|feature:midnight,0,,0
スタジオブライト｜レンタル撮影スタジオ（完全予約制）,〒111-0051 東京都台東区蔵前４丁目３６-１３ タイルビル 4F,,https://studiobright.co.jp/,,"2024-02-29 木曜日 9時00分～18時00分
2024-03-01 金曜日 9時00分～18時00分
2024-03-02 土曜日 9時00分～18時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 9時00分～18時00分
2024-03-05 火曜日 9時00分～18時00分
2024-03-06 水曜日 9時00分～18時00分
",1.0,139.7888734,35.7059315,東京,蔵前駅,381.0,蔵前駅|浅草駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:蔵前駅|station:浅草駅|feature:24h|feature:shooting|feature:midnight,0,,0
アロハホヌアフラスタジオ&レンタルスタジオ経堂,〒156-0052 東京都世田谷区経堂１丁目５-６ パルファム経堂 B1,,https://alohahonua.net/,090-1208-0802,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 定休日
2024-03-01 金曜日 19時00分～22時00分
2024-03-02 土曜日 14時00分～18時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 19時30分～20時30分
2024-03-05 火曜日 14時00分～20時30分
2024-03-06 水曜日 10時00分～12時30分
",1.0,139.6364491,35.6482219,東京,経堂駅,334.0,経堂駅|宮の坂駅|上町駅|山下駅|千歳船橋駅|豪徳寺駅|世田谷駅|松原駅|松陰神社前駅|梅ヶ丘駅,0.0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢|feature:24h|feature:midnight,0,,0
スタジオHIKARI 上野,〒110-0003 東京都台東区根岸１丁目１-１５ ルンビニフードカフェ鶯谷店 4階,,https://hikari-studio.net/ueno/,,,1.0,139.7805145,35.7206658,東京,上野駅,822.0,上野駅|日暮里駅,2.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:上野駅|station:日暮里駅,0,,0
スタジオジパング 上野スタジオSTANDARD,"〒110-0015 東京都台東区東上野３丁目１４-１２, Ueno Bldg., B1 旧 辻井ビル",,https://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7793572,35.7105635,東京,上野駅,404.0,上野駅,1.0,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:上野駅|feature:24h|feature:midnight,0,,0
イシカワヒロユキダンススタジオ,〒192-0081 東京都八王子市横山町３-６,,https://ishi-hiro-d-s.com/,042-642-1056,"2024-02-29 木曜日 12時00分～21時00分
2024-03-01 金曜日 12時00分～21時00分
2024-03-02 土曜日 12時00分～21時00分
2024-03-03 日曜日 12時00分～21時00分
2024-03-04 月曜日 12時00分～21時00分
2024-03-05 火曜日 12時00分～21時00分
2024-03-06 水曜日 12時00分～21時00分
",1.0,139.3390344,35.6595739,東京,八王子駅,437.0,八王子駅,1.0,八王子市,八王子,八王子,area:八王子|station:八王子駅|feature:24h|feature:midnight,0,,0
ミライスタジオ御茶ノ水,〒101-0062 東京都千代田区神田駿河台２丁目４-２,,https://studio-mirai55.com/,,"2024-02-29 木曜日 6時00分～0時00分
2024-03-01 金曜日 6時00分～0時00分
2024-03-02 土曜日 6時00分～0時00分
2024-03-03 日曜日 6時00分～0時00分
2024-03-04 月曜日 6時00分～0時00分
2024-03-05 火曜日 6時00分～0時00分
2024-03-06 水曜日 6時00分～0時00分
",1.0,139.7636274,35.6996099,東京,秋葉原駅,962.0,秋葉原駅,1.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h|feature:midnight,0,,0
LIBRA SQUARE 三ノ輪スタジオ,〒116-0003 東京都荒川区南千住１丁目１５-４,,http://liberus-grp.com/studio/,,,1.0,139.7923941,35.7322534,東京,三ノ輪駅,307.0,三ノ輪駅|荒川一中前駅|荒川区役所前駅|南千住駅|荒川二丁目駅|千住大橋駅|荒川七丁目駅|三河島駅|入谷駅|町屋駅,0.0,荒川区,日暮里,日暮里,area:日暮里,0,,0
ウスイダンススクール,〒162-0045 東京都新宿区馬場下町６-１ ビューロタカハシ ４F,,https://usui-dance.com/,03-6205-9542,"2024-02-29 木曜日 12時00分～22時00分
2024-03-01 金曜日 12時00分～22時00分
2024-03-02 土曜日 12時00分～19時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 12時00分～22時00分
2024-03-05 火曜日 12時00分～22時00分
2024-03-06 水曜日 12時00分～22時00分",1.0,139.719721,35.705801,東京,早稲田駅,134.0,早稲田駅|若松河田駅|牛込柳町駅|面影橋駅|西早稲田駅|江戸川橋駅|神楽坂駅|学習院下駅|東新宿駅|曙橋駅,0.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h|feature:midnight,0,,0
ウチノダンススタジオ,〒136-0071 東京都江東区亀戸２丁目３７-９ 第一不動産ビル,,,03-3681-2151,,1.0,139.825139,35.700939,東京,錦糸町駅,1101.0,錦糸町駅,1.0,江東区,豊洲,豊洲,area:豊洲|station:錦糸町駅,0,,0
スタジオジパング大久保,〒169-0073 東京都新宿区百人町１丁目２３ みなみビル B1,,https://studiozipang.com/okubo-standard/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.6974992,35.6991668,東京,新大久保駅,331.0,新大久保駅|西武新宿駅|新宿駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h|feature:midnight,0,,0
折橋恵子フラメンコ教室 estudio EL ANGEL,〒169-0072 東京都新宿区大久保８-８ 2-8-8 青葉ビル(スタジオプリメラ内,,https://estudioelangel.com/,,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 11時30分～15時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 定休日
2024-03-06 水曜日 定休日
",1.0,139.7074425,35.7026564,東京,新大久保駅,685.0,新大久保駅|西武新宿駅|高田馬場駅,3.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:高田馬場駅|feature:24h|feature:midnight,0,,0
修子バレエアカデミー,"ニュータウンオークボ 1F, ３丁目-１０-１ 大久保 新宿区 東京都 169-0072",,https://www.shukoballetacademy.jp/,,"2024-02-29 木曜日 11時15分～12時45分
2024-03-01 金曜日 11時15分～12時45分
2024-03-02 土曜日 10時00分～19時00分
2024-03-03 日曜日 10時30分～17時30分
2024-03-04 月曜日 16時20分～20時45分
2024-03-05 火曜日 17時10分～21時20分
2024-03-06 水曜日 19時15分～20時45分
",1.0,139.7051277,35.708606,東京,高田馬場駅,427.0,高田馬場駅|新大久保駅,2.0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:高田馬場駅|station:新大久保駅|feature:24h|feature:midnight,0,,0
BUZZ レンタルスタジオ 神田店,〒101-0047 東京都千代田区内神田２丁目９-９ 神田西口ビル B1F,https://dance-studio-lab.com/room/ODJkZDE5YzQtMTlhZS00NjNlLWJlZTQtNDA3NTU3MTQ5NDg5/detail,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7685026,35.6910964,東京,秋葉原駅,989.0,秋葉原駅|東京駅,2.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|station:東京駅|feature:24h|feature:mirror|feature:midnight,1,https://dance-studio-lab.com/room/ODJkZDE5YzQtMTlhZS00NjNlLWJlZTQtNDA3NTU3MTQ5NDg5/detail,100
BUZZ レンタルスタジオ 秋葉原店,〒101-0032 東京都千代田区岩本町２丁目６-１２ 曙ビル B1,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1.0,139.7760139,35.6934279,東京,秋葉原駅,606.0,秋葉原駅,1.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅|feature:24h|feature:midnight,0,,0
バレエアーツ秋葉原,〒101-0021 東京都千代田区外神田３丁目４-７ 昌平童夢館,,http://ballet-kba.com/,,,1.0,139.7699203,35.7012228,東京,秋葉原駅,480.0,秋葉原駅,1.0,千代田区,秋葉原,秋葉原,area:秋葉原|station:秋葉原駅,0,,0
D→TA (ディータ),〒112-0001 東京都文京区白山５丁目３３-１４ 2階,,https://peraichi.com/landing_pages/view/dta,,"LGBTQ フレンドリー2024-02-29 木曜日 定休日
2024-03-01 金曜日 10時30分～12時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 17時00分～20時00分
2024-03-06 水曜日 17時00分～20時00分
",1.0,139.752414,35.7225605,東京,白山駅,150.0,白山駅|本駒込駅|東大前駅|千石駅|千駄木駅|根津駅|茗荷谷駅|後楽園駅|春日駅|駒込駅,0.0,文京区,後楽園,後楽園,area:後楽園|feature:24h|feature:midnight,0,,0
レンタルスタジオ YOGA SPICE 神保町,〒101-0065 東京都千代田区西神田２丁目３-２ 牧ビル 402号室,,https://yogaspice.jp/,,"LGBTQ フレンドリー2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分
",1.0,139.7553652,35.698058,東京,神保町駅,312.0,神保町駅|水道橋駅|九段下駅|御茶ノ水駅|竹橋駅|新御茶ノ水駅|飯田橋駅|小川町駅|本郷三丁目駅|春日駅,0.0,千代田区,秋葉原,秋葉原,area:秋葉原|feature:24h|feature:midnight,0,,0
ピラティスシェアスタジオ ｜PILATES TIME（ピラティスタイム） 神保町,〒101-0051 東京都千代田区神田神保町１丁目７-１１ 1F,,https://pilatestime.jp/,,"2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 9時00分～17時00分
2024-03-03 日曜日 9時00分～17時00分
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 10時00分～21時00分
",1.0,139.7590386,35.6957659,東京,神保町駅,129.0,神保町駅|新御茶ノ水駅|竹橋駅|御茶ノ水駅|小川町駅|九段下駅|水道橋駅|神田駅|大手町駅|飯田橋駅,0.0,千代田区,秋葉原,秋葉原,area:秋葉原|feature:24h|feature:midnight,0,,0
